variable,sort_type,modes,chi2
12.00,hist,58,146.25
12.00,hist,59,151.56
12.00,hist,60,157.00
12.00,hist,61,162.56
12.00,hist,62,168.25
12.00,hist,63,174.06
12.00,hist,64,180.00
12.00,hist,65,186.06
12.00,hist,66,192.25
12.00,hist,67,190.28
12.00,hist,68,188.36
12.00,hist,69,186.50
12.00,hist,70,184.69
12.00,hist,71,182.94
12.00,hist,72,181.25
12.00,hist,73,179.61
12.00,hist,74,178.03
12.00,hist,75,176.50
12.00,hist,76,175.03
12.00,hist,77,173.61
12.00,hist,78,172.25
12.00,hist,79,170.94
12.00,hist,80,169.69
12.00,hist,81,168.50
12.00,hist,82,167.36
12.00,hist,83,166.28
12.00,hist,84,165.25
12.00,hist,85,164.28
12.00,hist,86,163.36
12.00,hist,87,162.50
12.00,hist,88,161.69
12.00,hist,89,160.94
12.00,hist,90,160.25
12.00,hist,91,159.61
12.00,hist,92,159.03
12.00,hist,93,158.50
12.00,hist,94,158.03
12.00,hist,95,157.61
12.00,hist,96,157.25
12.00,hist,97,156.94
12.00,hist,98,156.69
12.00,hist,99,156.50
12.00,hist,100,156.36
12.00,hist,1253,11859.57
12.50,hist,1,0.00
12.50,hist,2,0.00
12.50,hist,3,0.00
12.50,hist,4,0.00
12.50,hist,5,0.00
12.50,hist,6,0.00
12.50,hist,7,0.00
12.50,hist,8,0.00
12.50,hist,9,0.00
12.50,hist,10,0.00
12.50,hist,11,0.00
12.50,hist,12,0.00
12.50,hist,13,0.00
12.50,hist,14,0.00
12.50,hist,15,0.00
12.50,hist,16,0.00
12.50,hist,17,0.06
12.50,hist,18,0.25
12.50,hist,19,0.56
12.50,hist,20,1.00
12.50,hist,21,1.56
12.50,hist,22,2.25
12.50,hist,23,3.06
12.50,hist,24,4.00
12.50,hist,25,5.06
12.50,hist,26,6.25
12.50,hist,27,7.56
12.50,hist,28,9.00
12.50,hist,29,10.56
12.50,hist,30,12.25
12.50,hist,31,14.06
12.50,hist,32,16.00
12.50,hist,33,18.06
12.50,hist,34,20.25
12.50,hist,35,22.56
12.50,hist,36,25.00
12.50,hist,37,27.56
12.50,hist,38,30.25
12.50,hist,39,33.06
12.50,hist,40,36.00
12.50,hist,41,39.06
12.50,hist,42,42.25
12.50,hist,43,45.56
12.50,hist,44,49.00
12.50,hist,45,52.56
12.50,hist,46,56.25
12.50,hist,47,60.06
12.50,hist,48,64.00
12.50,hist,49,68.06
12.50,hist,50,72.25
12.50,hist,51,76.56
12.50,hist,52,81.00
12.50,hist,53,121.56
12.50,hist,54,126.25
12.50,hist,55,131.06
12.50,hist,56,136.00
12.50,hist,57,141.06
12.50,hist,58,146.25
