variable,sort_type,modes,chi2
12.50,hist,25,0.00
12.50,hist,26,0.00
12.50,hist,27,0.00
12.50,hist,28,0.00
12.50,hist,29,0.00
12.50,hist,30,0.00
12.50,hist,31,0.00
12.50,hist,32,0.00
12.50,hist,33,0.00
12.50,hist,34,0.00
12.50,hist,35,0.00
12.50,hist,36,0.00
12.50,hist,37,0.00
12.50,hist,38,0.00
12.50,hist,39,0.00
12.50,hist,40,0.00
12.50,hist,41,0.00
12.50,hist,42,0.00
12.50,hist,43,0.02
12.50,hist,44,0.10
12.50,hist,45,0.21
12.50,hist,46,0.38
12.50,hist,47,0.60
12.50,hist,48,0.86
12.50,hist,49,1.17
12.50,hist,50,1.52
12.50,hist,51,1.93
12.50,hist,52,2.38
12.50,hist,53,2.88
12.50,hist,54,3.43
12.50,hist,55,4.02
12.50,hist,56,4.67
